"name","fullname","result","duration"
"BossScenes03To10_LowFpsJitter_RebindStormAndInterruptions_BossGateRemainsStable","ThirdPersonController.Tests.BossChaosStressRegressionTests.BossScenes03To10_LowFpsJitter_RebindStormAndInterruptions_BossGateRemainsStable","Passed","2.048062"
"BossScenes03To10_ReentryShuffle_BossDefeatEventStorm_RemainsSingleCompletionState","ThirdPersonController.Tests.BossChaosStressRegressionTests.BossScenes03To10_ReentryShuffle_BossDefeatEventStorm_RemainsSingleCompletionState","Passed","0.802533"
"BossCombatTemplate_SelectSkill_PrefersInRangeSkill","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossCombatTemplate_SelectSkill_PrefersInRangeSkill","Passed","0.009509"
"BossController_AttackPlanning_DistanceWeightingAvoidsOutOfRangeSpam","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_AttackPlanning_DistanceWeightingAvoidsOutOfRangeSpam","Passed","0.005756"
"BossController_AttackTimeline_LowFpsCoarseStep_CompletesSingleCycle","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_AttackTimeline_LowFpsCoarseStep_CompletesSingleCycle","Passed","0.162643"
"BossController_BreakAndQueue_RespectCoreRules","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_BreakAndQueue_RespectCoreRules","Passed","0.001894"
"BossController_BreakWindowEnd_PostBreakPunish_SeedsImmediateReengageTimers","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_BreakWindowEnd_PostBreakPunish_SeedsImmediateReengageTimers","Passed","0.004836"
"BossController_EffectiveDecisionInterval_ScalesWithTimePressure","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_EffectiveDecisionInterval_ScalesWithTimePressure","Passed","0.001871"
"BossController_InterruptRecoveryGate_BlocksImmediateRestartAfterStun","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_InterruptRecoveryGate_BlocksImmediateRestartAfterStun","Passed","0.303740"
"BossController_InterruptRecoveryGate_LowFpsJitter_StillRespectsCounterWindow","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_InterruptRecoveryGate_LowFpsJitter_StillRespectsCounterWindow","Passed","0.594290"
"BossController_Phase2ComboChain_QueuesFollowupAfterOpener","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_Phase2ComboChain_QueuesFollowupAfterOpener","Passed","0.321955"
"BossController_Phase3PriorityWindow_ForcesSpecialAttackQueue","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_Phase3PriorityWindow_ForcesSpecialAttackQueue","Passed","0.000959"
"BossController_PhaseTransition_AdvancesWithHealthThresholds","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PhaseTransition_AdvancesWithHealthThresholds","Passed","0.001998"
"BossController_PhaseTransition_QueuesConfiguredOpenerAttack","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PhaseTransition_QueuesConfiguredOpenerAttack","Passed","0.001016"
"BossController_PhaseTransition_QueuesFollowupChain_AfterOpener","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PhaseTransition_QueuesFollowupChain_AfterOpener","Passed","0.001288"
"BossController_PhaseTransitionFollowupRetry_QueuesWhenFollowupCooldownExpires","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PhaseTransitionFollowupRetry_QueuesWhenFollowupCooldownExpires","Passed","0.001319"
"BossController_PhaseTransitionOpenerRetry_ExhaustsRetriesUnderCoarseDelta_AndClearsPendingState","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PhaseTransitionOpenerRetry_ExhaustsRetriesUnderCoarseDelta_AndClearsPendingState","Passed","0.001061"
"BossController_PhaseTransitionOpenerRetry_QueuesWhenInitialCooldownBlocksImmediateQueue","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PhaseTransitionOpenerRetry_QueuesWhenInitialCooldownBlocksImmediateQueue","Passed","0.000969"
"BossController_PostBreakPunish_ModifiesIntervalsAndChaseSpeed","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PostBreakPunish_ModifiesIntervalsAndChaseSpeed","Passed","0.001582"
"BossController_TimePressure_RampsDamageAndSpeedWithFightDuration","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_TimePressure_RampsDamageAndSpeedWithFightDuration","Passed","0.001290"
"BossEelPrototype_ChainRushMiss_OpensPunishWindowInPhase2","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossEelPrototype_ChainRushMiss_OpensPunishWindowInPhase2","Passed","0.002050"
