scope,target,field,current,expected,status,note
Scene,Assets/Scenes/Level_01_TrenchRift.unity:GameObject,QuickEnemySpawner.spawnKey,G,G,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:GameObject,QuickEnemySpawner.stressSpawnKey,F8,F8,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:GameObject,QuickEnemySpawner.clearKey,Delete,Delete,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:ProgressionUI,UI_TalentEquipmentOverlay.toggleKey,U,U,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:Meshy_AI_Animation_Walking_frame_rate_60,PlayerInputHandler.skill3Key,C,C,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:MainCanvas/SkillBar,UI_SkillBar.keyBindings[2],C,C,OK,
Scene,Assets/Scenes/Level_02_WreckedStation.unity:GameObject,QuickEnemySpawner.spawnKey,G,G,OK,
Scene,Assets/Scenes/Level_02_WreckedStation.unity:GameObject,QuickEnemySpawner.stressSpawnKey,F8,F8,OK,
Scene,Assets/Scenes/Level_02_WreckedStation.unity:GameObject,QuickEnemySpawner.clearKey,Delete,Delete,OK,
Scene,Assets/Scenes/Level_02_WreckedStation.unity:ProgressionUI,UI_TalentEquipmentOverlay.toggleKey,U,U,OK,
Scene,Assets/Scenes/Level_02_WreckedStation.unity:Meshy_AI_Animation_Walking_frame_rate_60,PlayerInputHandler.skill3Key,C,C,OK,
Scene,Assets/Scenes/Level_02_WreckedStation.unity:MainCanvas/SkillBar,UI_SkillBar.keyBindings[2],C,C,OK,
Scene,Assets/Scenes/Level_03_ThermalVents.unity:GameObject,QuickEnemySpawner.spawnKey,G,G,OK,
Scene,Assets/Scenes/Level_03_ThermalVents.unity:GameObject,QuickEnemySpawner.stressSpawnKey,F8,F8,OK,
Scene,Assets/Scenes/Level_03_ThermalVents.unity:GameObject,QuickEnemySpawner.clearKey,Delete,Delete,OK,
Scene,Assets/Scenes/Level_03_ThermalVents.unity:ProgressionUI,UI_TalentEquipmentOverlay.toggleKey,U,U,OK,
Scene,Assets/Scenes/Level_03_ThermalVents.unity:Meshy_AI_Animation_Walking_frame_rate_60,PlayerInputHandler.skill3Key,C,C,OK,
Scene,Assets/Scenes/Level_03_ThermalVents.unity:MainCanvas/SkillBar,UI_SkillBar.keyBindings[2],C,C,OK,
Scene,Assets/Scenes/Level_04_CoralGrove.unity:GameObject,QuickEnemySpawner.spawnKey,G,G,OK,
Scene,Assets/Scenes/Level_04_CoralGrove.unity:GameObject,QuickEnemySpawner.stressSpawnKey,F8,F8,OK,
Scene,Assets/Scenes/Level_04_CoralGrove.unity:GameObject,QuickEnemySpawner.clearKey,Delete,Delete,OK,
Scene,Assets/Scenes/Level_04_CoralGrove.unity:ProgressionUI,UI_TalentEquipmentOverlay.toggleKey,U,U,OK,
Scene,Assets/Scenes/Level_04_CoralGrove.unity:Meshy_AI_Animation_Walking_frame_rate_60,PlayerInputHandler.skill3Key,C,C,OK,
Scene,Assets/Scenes/Level_04_CoralGrove.unity:MainCanvas/SkillBar,UI_SkillBar.keyBindings[2],C,C,OK,
Scene,Assets/Scenes/Level_05_SunkenCity.unity:GameObject,QuickEnemySpawner.spawnKey,G,G,OK,
Scene,Assets/Scenes/Level_05_SunkenCity.unity:GameObject,QuickEnemySpawner.stressSpawnKey,F8,F8,OK,
Scene,Assets/Scenes/Level_05_SunkenCity.unity:GameObject,QuickEnemySpawner.clearKey,Delete,Delete,OK,
Scene,Assets/Scenes/Level_05_SunkenCity.unity:ProgressionUI,UI_TalentEquipmentOverlay.toggleKey,U,U,OK,
